IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
18.169.133.105,80,80,false,ORD,North America,Chicago,161,0.00
18.170.115.138,2052,80,false,ORD,North America,Chicago,173,0.00
34.217.60.138,2087,80,false,ORD,North America,Chicago,199,0.00
54.202.86.200,2052,80,false,ORD,North America,Chicago,204,0.00
54.218.45.9,8880,80,false,ORD,North America,Chicago,206,0.00
18.236.74.87,8443,80,false,ORD,North America,Chicago,202,0.00
54.218.45.9,8443,80,false,ORD,North America,Chicago,213,0.00
54.218.45.9,443,80,false,ORD,North America,Chicago,204,0.00
18.236.74.87,2053,80,false,ORD,North America,Chicago,205,0.00
18.236.74.87,443,80,false,ORD,North America,Chicago,196,0.00
34.213.152.207,8080,80,false,ORD,North America,Chicago,196,0.00
3.10.176.60,80,80,false,ORD,North America,Chicago,161,0.00
54.202.185.252,2052,80,false,ORD,North America,Chicago,197,0.00
34.215.147.199,2087,80,false,ORD,North America,Chicago,214,0.00
34.217.60.138,80,80,false,ORD,North America,Chicago,195,0.00
54.218.45.9,2096,80,false,ORD,North America,Chicago,194,0.00
54.218.45.9,2095,80,false,ORD,North America,Chicago,206,0.00
34.218.237.80,2086,80,false,ORD,North America,Chicago,211,0.00
34.218.237.80,80,80,false,ORD,North America,Chicago,197,0.00
54.202.185.252,2095,80,false,ORD,North America,Chicago,197,0.00
35.93.4.236,80,80,false,ORD,North America,Chicago,225,0.00
35.93.4.236,8880,80,false,ORD,North America,Chicago,221,0.00
18.236.74.87,2095,80,false,ORD,North America,Chicago,213,0.00
54.218.45.9,2087,80,false,ORD,North America,Chicago,193,0.00
54.218.45.9,2053,80,false,ORD,North America,Chicago,202,0.00
18.236.74.87,2052,80,false,ORD,North America,Chicago,191,0.00
34.221.93.38,8080,80,false,ORD,North America,Chicago,197,0.00
54.202.86.200,2053,80,false,ORD,North America,Chicago,203,0.00
34.221.93.38,8443,80,false,ORD,North America,Chicago,201,0.00
35.166.188.81,2087,80,false,ORD,North America,Chicago,195,0.00
54.218.45.9,8080,80,false,ORD,North America,Chicago,198,0.00
54.218.45.9,2086,80,false,ORD,North America,Chicago,203,0.00
54.218.45.9,80,80,false,ORD,North America,Chicago,203,0.00
34.213.152.207,8880,80,false,ORD,North America,Chicago,196,0.00
35.166.188.81,8080,80,false,ORD,North America,Chicago,194,0.00
54.218.45.9,2082,80,false,ORD,North America,Chicago,197,0.00
18.236.74.87,8880,80,false,ORD,North America,Chicago,204,0.00
18.236.74.87,2086,80,false,ORD,North America,Chicago,202,0.00
18.236.74.87,2087,80,false,ORD,North America,Chicago,202,0.00
18.236.74.87,2083,80,false,ORD,North America,Chicago,211,0.00
18.236.74.87,2082,80,false,ORD,North America,Chicago,201,0.00
18.236.74.87,2096,80,false,ORD,North America,Chicago,199,0.00
18.132.209.12,2096,80,false,ORD,North America,Chicago,167,0.00
18.132.209.12,80,80,false,ORD,North America,Chicago,171,0.00
18.132.201.250,2082,80,false,ORD,North America,Chicago,163,0.00
35.93.188.199,8080,80,false,ORD,North America,Chicago,219,0.00
35.93.188.199,2095,80,false,ORD,North America,Chicago,201,0.00
35.93.190.39,2087,80,false,ORD,North America,Chicago,227,0.00
34.221.108.31,8880,80,false,ORD,North America,Chicago,196,0.00
34.210.73.42,2095,80,false,ORD,North America,Chicago,203,0.00
34.221.108.31,443,80,false,ORD,North America,Chicago,201,0.00
34.210.73.42,8443,80,false,ORD,North America,Chicago,197,0.00
35.93.188.199,443,80,false,ORD,North America,Chicago,202,0.00
34.210.73.42,2083,80,false,ORD,North America,Chicago,197,0.00
34.210.73.42,80,80,false,ORD,North America,Chicago,196,0.00
34.210.73.42,8880,80,false,ORD,North America,Chicago,203,0.00
34.210.73.42,8080,80,false,ORD,North America,Chicago,211,0.00
35.93.188.199,2053,80,false,ORD,North America,Chicago,221,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.229.107.89,2082,80,false,CGK,Asia Pacific,Jakarta,1,0.00
52.76.182.63,2083,80,false,SIN,Asia Pacific,Singapore,2,0.00
52.76.182.63,2096,80,false,SIN,Asia Pacific,Singapore,6,0.00
13.213.206.28,443,443,true,SIN,Asia Pacific,Singapore,7,0.00
52.76.182.63,2082,80,false,SIN,Asia Pacific,Singapore,9,0.00
52.76.182.63,2052,80,false,SIN,Asia Pacific,Singapore,11,0.00
52.76.182.63,2095,80,false,SIN,Asia Pacific,Singapore,12,0.00
52.76.182.63,2086,80,false,SIN,Asia Pacific,Singapore,13,0.00
52.76.182.63,2087,80,false,SIN,Asia Pacific,Singapore,18,0.00
52.76.182.63,2053,80,false,SIN,Asia Pacific,Singapore,34,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,69,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,69,0.00
13.209.22.185,80,80,false,ICN,Asia Pacific,Seoul,83,0.00
13.124.81.29,443,443,true,ICN,Asia Pacific,Seoul,86,0.00
13.237.94.188,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2095,80,false,SYD,Oceania,Sydney,93,0.00
54.66.80.167,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.211.0.227,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2082,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,94,0.00
13.237.94.188,2095,80,false,SYD,Oceania,Sydney,94,0.00
13.211.0.227,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.236.104.165,2086,80,false,SYD,Oceania,Sydney,95,0.00
13.237.94.188,2052,80,false,SYD,Oceania,Sydney,96,0.00
13.211.0.227,2087,80,false,SYD,Oceania,Sydney,98,0.00
13.237.94.188,2096,80,false,SYD,Oceania,Sydney,104,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,105,0.00
13.211.0.227,2082,80,false,SYD,Oceania,Sydney,108,0.00
13.237.94.188,2082,80,false,SYD,Oceania,Sydney,109,0.00
96.0.147.104,80,80,false,SIN,Asia Pacific,Singapore,109,0.00
13.36.162.145,2087,80,false,CDG,Europe,Paris,153,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,153,0.00
13.36.253.240,2086,80,false,CDG,Europe,Paris,153,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,159,0.00
13.36.162.145,2083,80,false,CDG,Europe,Paris,159,0.00
13.36.63.124,2082,80,false,CDG,Europe,Paris,160,0.00
13.36.24.111,2052,80,false,CDG,Europe,Paris,160,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,160,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,160,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,160,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,160,0.00
13.36.162.145,2082,80,false,CDG,Europe,Paris,160,0.00
51.44.19.44,80,80,false,CDG,Europe,Paris,160,0.00
13.36.63.124,2053,80,false,CDG,Europe,Paris,160,0.00
13.36.162.145,2053,80,false,CDG,Europe,Paris,160,0.00
13.36.253.240,2052,80,false,CDG,Europe,Paris,161,0.00
13.36.253.240,2096,80,false,CDG,Europe,Paris,161,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,162,0.00
13.36.253.240,2082,80,false,CDG,Europe,Paris,162,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,162,0.00
13.42.158.50,2087,443,true,LHR,Europe,London,163,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,163,0.00
13.36.162.145,2052,80,false,CDG,Europe,Paris,163,0.00
13.36.24.111,2095,80,false,CDG,Europe,Paris,164,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,165,0.00
13.42.158.50,2095,443,true,LHR,Europe,London,168,0.00
52.29.224.33,80,80,false,FRA,Europe,Frankfurt,169,0.00
52.29.224.33,443,443,true,FRA,Europe,Frankfurt,169,0.00
13.36.63.124,2087,80,false,CDG,Europe,Paris,170,0.00
13.43.173.97,8443,443,true,LHR,Europe,London,171,0.00
13.36.162.145,2096,80,false,CDG,Europe,Paris,173,0.00
13.36.253.240,2053,80,false,CDG,Europe,Paris,174,0.00
13.36.253.240,2087,80,false,CDG,Europe,Paris,174,0.00
13.36.162.145,2086,80,false,CDG,Europe,Paris,174,0.00
13.36.253.240,2083,80,false,CDG,Europe,Paris,176,0.00
13.42.158.50,8443,443,true,LHR,Europe,London,176,0.00
13.48.195.102,8080,443,true,ARN,Europe,Stockholm,178,0.00
