IP:PORT, LOSS, DELAY
[2606:4700:d0::d343:b479:557d:8c44]:1002,0.00%,176 ms
[2606:4700:d0::19bb:865d:b321:d226]:3138,0.00%,177 ms
[2606:4700:d0::d851:758b:e0f2:4cde]:1002,0.00%,177 ms
[2606:4700:d0::89aa:2eee:fc71:6c74]:3138,0.00%,178 ms
[2606:4700:d0::89aa:2eee:fc71:6c74]:1002,0.00%,180 ms
[2606:4700:d0::7721:21f4:c18a:da43]:1002,0.00%,181 ms
[2606:4700:d0::4b1a:22b8:388f:9a99]:1002,0.00%,183 ms
[2606:4700:d1::2595:32f1:d04e:0bb7]:3138,0.00%,183 ms
[2606:4700:d0::bb7b:6538:27d7:5c43]:1002,0.00%,183 ms
[2606:4700:d0::d343:b479:557d:8c44]:3138,0.00%,184 ms
[2606:4700:d1::ba81:bec0:a99d:8514]:3138,0.00%,184 ms
[2606:4700:d1::2efd:0429:a42a:eac2]:3138,0.00%,185 ms
[2606:4700:d1::ba81:bec0:a99d:8514]:1002,0.00%,185 ms
[2606:4700:d1::0149:a737:e212:102c]:3138,0.00%,186 ms
[2606:4700:d1::2595:32f1:d04e:0bb7]:1002,0.00%,186 ms
[2606:4700:d0::bb7b:6538:27d7:5c43]:3138,0.00%,187 ms
[2606:4700:d0::a678:bd82:fbf7:8a49]:1002,0.00%,187 ms
[2606:4700:d1::e9fb:2876:7c44:c648]:3138,0.00%,187 ms
[2606:4700:d1::0149:a737:e212:102c]:1002,0.00%,187 ms
[2606:4700:d0::a678:bd82:fbf7:8a49]:3138,0.00%,187 ms
[2606:4700:d1::61a1:cc74:2626:2314]:1002,0.00%,188 ms
[2606:4700:d1::3a0c:1646:041d:bd9f]:3138,0.00%,188 ms
[2606:4700:d1::f479:1b99:a650:b314]:1002,0.00%,188 ms
[2606:4700:d1::6cc5:3ba6:84ae:b224]:1002,0.00%,188 ms
[2606:4700:d0::6b04:fcc6:6a53:d4fd]:3138,0.00%,189 ms
[2606:4700:d0::7721:21f4:c18a:da43]:3138,0.00%,189 ms
[2606:4700:d0::2cf7:c2b2:b662:852f]:1002,0.00%,190 ms
[2606:4700:d1::ae83:8a40:44d5:21e3]:3138,0.00%,190 ms
[2606:4700:d0::f513:a16d:3eb6:dee8]:3138,0.00%,190 ms
[2606:4700:d0::6b04:fcc6:6a53:d4fd]:1002,0.00%,190 ms
[2606:4700:d0::b9fb:b29c:92d8:c397]:3138,0.00%,190 ms
[2606:4700:d0::ba42:6f0b:3154:486f]:3138,0.00%,191 ms
[2606:4700:d1::e7e2:2cad:058d:30a8]:1002,0.00%,191 ms
[2606:4700:d0::0601:f3ec:2d81:50cd]:3138,0.00%,191 ms
